full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
241013 DAY6 World Tour Forever Young in Bali Lah si wonpil nantangin bgt udah tau kita anaknya ngejar #DAY6 #데이식스 #DAY6inBali #DAY6_FOREVER_YOUNG_Bali #WONPIL #원필 https://t.co/z7SlBgeZDJ,1.8461773049026E+018,2024-10-15 13:12:24+00:00,monstraykidsix,1.04935526833142E+018,in,,0,0,10,21,https://x.com/monstraykidsix/status/1846177304902619307,,0,monstraykidsix,
Tolong ini diadopsi guys gemec bgt #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Jakarta,1.84618452555214E+018,2024-10-15 13:41:05+00:00,nakedeugene,1.62804874351701E+018,in,,0,1,0,0,https://x.com/nakedeugene/status/1846184525552144778,,0,nakedeugene,
Day6 3RD World Tour FOREVER YOUNG in Surabaya Siap-siap bakal jadi fancam A Thread xixixi #DAY6_3RD_WORLDTOUR #Day6inSurabaya #Day6insby #Day6Foreveryoung https://t.co/6F3BUVO7Mr,1.84621111884459E+018,2024-10-15 15:26:46+00:00,powerful_breeze,923103704,in,"Kota Surabaya, Jawa Timur",1,1,1,17,https://x.com/powerful_breeze/status/1846211118844596508,,0,powerful_breeze,
UPDATED SLOT ‼️ MYDAY SLOT MAKE UP SISA BEBERAPA LAGI NIHH! di day 2 &amp; hairdo masih banyak lohh slotnya~ YUK JANGAN SAMPE KEHABISAN! START FROM ONLY 30K #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_JAKARTA https://t.co/JNswZp1Ehr,1.84622050627962E+018,2024-10-15 16:04:04+00:00,goingpretty_,1.6157234123785E+018,in,open!!,0,0,0,0,https://x.com/goingpretty_/status/1846220506279629278,,0,goingpretty_,
C u besok ayank #DAY6_FOREVER_YOUNG_Surabaya https://t.co/tP96QOpbyu,1.84623051479523E+018,2024-10-15 16:43:50+00:00,morningapple_,920902759,in,"Kota Surabaya, Jawa Timur",0,0,0,6,https://x.com/morningapple_/status/1846230514795245938,,0,morningapple_,
Freebies Day6 Forever Young Surabaya Sticker pack parodi obat an By @nangeomuriya Sampai jumpa besok (Akhirnya kelar packing) #day6 #day6foreveryoung #foreveryoungsurabaya https://t.co/Csnl9Tk6WQ,1.84623223058436E+018,2024-10-15 16:50:39+00:00,nangeomuriya,924324882,in,,10,19,94,215,https://x.com/nangeomuriya/status/1846232230584373395,nangeomuriya,1,nangeomuriya,nangeomuriya
Nangis aja yuk! #DAY6 #데이식스 #DAY6inBali #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali https://t.co/0WK6btxGB4,1.84623389463673E+018,2024-10-15 16:57:16+00:00,rcempaka,144490298,in,"New York, USA",0,0,0,1,https://x.com/rcempaka/status/1846233894636737036,,0,rcempaka,
#DAY0 dapet teaser adlibs youngk di kongchu #Day6ForeverYoung #DAY6 #데이식스 #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_INDONESIA #DAY6inSBY https://t.co/A7qm1AkSVf,1.8463279016352E+018,2024-10-15 23:10:49+00:00,yoomdowoon,1381249050,in,kinda ia👋🏻,0,0,1,5,https://x.com/yoomdowoon/status/1846327901635203328,,0,yoomdowoon,
Semoga setelah day6 konser di Surabaya kedepannya nanti banyak juga artis kpop yg ngelirik Surabaya buat jadi next stop mereka di Indonesia. Berdoa yuk warga Timur biar ga mahal amat kita kita ini mau ketemu cokipop kita,1.84637557906051E+018,2024-10-16 02:20:16+00:00,sohibichan,1.15021301791877E+018,in,우주공장,1,7,1,13,https://x.com/sohibichan/status/1846375579060523138,,0,sohibichan,
pagi hari menghirup udara yg sama dengan day6 di Surabaya #DAY6_FOREVER_YOUNG_Indonesia #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_SURABAYA https://t.co/ViLS2Lz0Ff,1.84637839268771E+018,2024-10-16 02:31:27+00:00,soobprise,1.08485621930143E+018,in,"Semarang, Jawa Tengah",0,0,2,1,https://x.com/soobprise/status/1846378392687726729,,0,soobprise,
