full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,target,source
KOK FANPRO DAY6 PAKE AI KAYA COMPANY PROFILE ANJRIT @mecimapro LU SINTING KAHHHH,1.91870413685141E+018,2025-05-03 16:28:08+00:00,@bbypink_suh,3301431460,in,,0,0,0,0,https://x.com/bbypink_suh/status/1918704136851423493,['mecimapro'],1,mecimapro,@bbypink_suh
YOUNGK BOWING 90 DEGREE TO US IT'S THE PROMOTOR FAULT BUT THEY DIDN'T ASK FOR ANY APOLOGY TO US INSTEAD DAY6 WHO DID IT WHEN THEY'RE ALSO THE VICTIM OF MECIMA SHAME ON YOU MELANI I HOPE YOU ROT IN HELL! @mecimapro https://t.co/XAgMa7gIBi,1.91870701810737E+018,2025-05-03 16:39:35+00:00,@bassistadmirer,1261136755,en,,8,0,87,262,https://x.com/bassistadmirer/status/1918707018107388406,['mecimapro'],1,mecimapro,@bassistadmirer
FAK BGT LU BIKIN GUE NANGIS!!!!!! YG HARUSNYA GUE KONSERAN DIDALEM HEALING BUAT GUE KRN DAY6 SUMBER BAHAGIA GUE DIRENGGUT SM LO DAN LO GAK MINTA MAAF KE MYDAY! MAKAN TUH EGO LO @mecimapro BUBAR DEH LO GABECUS KERJAANLO SAT,1.91870794176028E+018,2025-05-03 16:43:15+00:00,@ruelstime,461060659,in,,0,0,4,4,https://x.com/ruelstime/status/1918707941760283072,['mecimapro'],1,mecimapro,@ruelstime
ah anjir jd inget @DyandraGlobal miss e sampe sujud di panggung padahal krn kesalahan fans dorong dorongan tp ini @mecimapro udh jelas semua kesalahan ada dia tapi masih muka tebel bgt gatau malu angangangang #DAY6_3RD_WORLDTOUR_Jakarta,1.91870879074634E+018,2025-05-03 16:46:38+00:00,@citrafbri,1914372116,in,,0,1,2,7,https://x.com/citrafbri/status/1918708790746349857,"['DyandraGlobal', 'mecimapro']",2,DyandraGlobal,@citrafbri
EMANG SEMUA INI TUH SALAH MECIMA ANJINGGGG GARA-GARA MECIMA GUA NGERASA SEDIH DAN MARAH SAMA DAY6 FUCK YOU @mecimapro,1.91870934372754E+018,2025-05-03 16:48:50+00:00,@mashedpicato,110859728,in,,0,0,0,0,https://x.com/mashedpicato/status/1918709343727554693,['mecimapro'],1,mecimapro,@mashedpicato
this feels like consequences of mecima s actions but instead myday and day6 got the worst of it. this shouldnt have happened in the first place if mecima actually did their work. i hope u the worst @mecimapro pls be ashamed always.,1.91871306562296E+018,2025-05-03 17:03:37+00:00,@kittyounghyuns,1.4058741778951E+018,en,,1,0,361,608,https://x.com/kittyounghyuns/status/1918713065622962194,['mecimapro'],1,mecimapro,@kittyounghyuns
salah lu @mecimapro asli jahat lu dzolim gue yang gak stan day6 aja frustasi gila liatnya apalagi fans nya,1.91871464705561E+018,2025-05-03 17:09:54+00:00,@0104HJJ,1.53618995432105E+018,in,,0,0,0,0,https://x.com/0104HJJ/status/1918714647055614457,['mecimapro'],1,mecimapro,@0104HJJ
Anjir lah begini kalau promotor musik dipegang modelan NPD macam Melani @mecimapro sama Stepani Decul Chulchuchul. Pengen kelihatan dibilang gw hebat lho bisa kerjain ini bisa bikin sold out padahal gak ada kerjanya yg beres sama sekali. #DAY6_3RD_WORLDTOUR_Jakarta,1.91871588369603E+018,2025-05-03 17:14:49+00:00,@zrsuyree,487399795,in,,0,1,1,2,https://x.com/zrsuyree/status/1918715883696042247,['mecimapro'],1,mecimapro,@zrsuyree
semua gara gara elu ya anjeng bikin hubungan MyDay sama DAY6 jadi kaya gini @mecimapro,1.91871845157899E+018,2025-05-03 17:25:01+00:00,@chaereog,1677426576,in,,0,0,0,0,https://x.com/chaereog/status/1918718451578999222,['mecimapro'],1,mecimapro,@chaereog
sumpah semoga day6 tau kalo kita tuh marah ke promotor anjeng @mecimapro,1.91872285267448E+018,2025-05-03 17:42:30+00:00,@cleffairyy,3000761707,in,,0,0,0,0,https://x.com/cleffairyy/status/1918722852674486337,['mecimapro'],1,mecimapro,@cleffairyy
Hi @mecimapro is a bunch of SASAENG. FYI: We were served spoiled food the tent collapsed in the middle of the concert queue our billions-worth of money is still owed by the promoter. We were scammed &amp; so was DAY6 for the past 5 months. They ve alrd damaged ur band s reputation,1.91872408538074E+018,2025-05-03 17:47:24+00:00,@tearamizu,158247789,en,,4,6,242,915,https://x.com/tearamizu/status/1918724085380743662,['mecimapro'],1,mecimapro,@tearamizu
